시군구,총 인구수,총출근발생량
가평군,62389,20592.0
고양시덕양구,493506,190060.0
고양시일산동구,293740,108701.0
고양시일산서구,284559,105587.0
과천시,84278,25846.0
광명시,278744,137485.0
광주시,392998,143245.0
구리시,186079,84273.0
군포시,259307,134493.0
김포시,485749,164278.0
남양주시,684466,259228.0
동두천시,87563,35637.0
부천시소사구,228977,120264.0
부천시오정구,153830,120264.0
부천시원미구,392260,120264.0
성남시분당구,471067,175293.0
성남시수정구,237477,110612.0
성남시중원구,209221,119894.0
수원시권선구,365041,161709.0
수원시영통구,362095,154321.0
수원시장안구,274538,116865.0
수원시팔달구,195682,88934.0
시흥시,518844,250753.0
안산시단원구,294787,182149.0
안산시상록구,331013,160090.0
안성시,191247,94750.0
안양시동안구,317054,138134.0
안양시만안구,229107,100753.0
양주시,278546,93253.0
양평군,126129,26368.0
여주시,114522,45690.0
연천군,41081,13107.0
오산시,235681,120312.0
용인시기흥구,437307,159466.0
용인시수지구,376250,113277.0
용인시처인구,267936,114930.0
의왕시,155740,62731.0
의정부시,461661,179439.0
이천시,221704,105797.0
파주시,505659,201565.0
평택시,593549,229128.0
포천시,142429,73416.0
하남시,329827,104409.0
화성시,952194,425616.0
