시군구,총 인구수,총출근발생량,충전소 총 개수,주거공간 충전소 개수,주거공간 외 충전소 개수,행정구역,전기차 수,앵커시설
가평군,62389,20592.0,452,315,137,가평군,919,2
고양시덕양구,493506,190060.0,2046,1508,538,고양시 덕양구,5538,10
고양시일산동구,293740,108701.0,2040,1512,528,고양시 일산동구,3296,12
고양시일산서구,284559,105587.0,1861,1393,468,고양시 일산서구,3193,7
과천시,84278,25846.0,360,154,206,과천시,1254,2
광명시,278744,137485.0,1344,909,435,광명시,2518,10
광주시,392998,143245.0,1532,1259,273,광주시,3834,3
구리시,186079,84273.0,1010,796,214,구리시,1462,5
군포시,259307,134493.0,1004,685,319,군포시,2260,5
김포시,485749,164278.0,3759,3098,661,김포시,8139,11
남양주시,684466,259228.0,5002,4062,940,남양주시,7766,15
동두천시,87563,35637.0,461,332,129,동두천시,966,3
부천시소사구,228977,120264.0,696,542,154,부천시 소사구,1868,6
부천시오정구,153830,120264.0,270,102,168,부천시 오정구,1255,0
부천시원미구,392260,120264.0,1672,1187,485,부천시 원미구,3201,13
성남시분당구,471067,175293.0,3797,2740,1057,성남시 분당구,6327,9
성남시수정구,237477,110612.0,1268,812,456,성남시 수정구,3474,5
성남시중원구,209221,119894.0,860,430,430,성남시 중원구,3105,1
수원시권선구,365041,161709.0,1979,1389,590,수원시 권선구,3849,10
수원시영통구,362095,154321.0,2782,2084,698,수원시 영통구,4074,9
수원시장안구,274538,116865.0,974,648,326,수원시 장안구,3089,8
수원시팔달구,195682,88934.0,812,532,280,수원시 팔달구,2202,6
시흥시,518844,250753.0,3194,2374,820,시흥시,4055,11
안산시단원구,294787,182149.0,1865,1273,592,안산시 단원구,2919,9
안산시상록구,331013,160090.0,668,411,257,안산시 상록구,3278,5
안성시,191247,94750.0,1315,819,496,안성시,2159,6
안양시동안구,317054,138134.0,1498,895,603,안양시 동안구,2827,10
안양시만안구,229107,100753.0,733,575,158,안양시 만안구,2042,2
양주시,278546,93253.0,1931,1479,452,양주시,3135,4
양평군,126129,26368.0,454,248,206,양평군,2228,1
여주시,114522,45690.0,564,406,158,여주시,1731,2
연천군,41081,13107.0,154,66,88,연천군,828,0
오산시,235681,120312.0,1374,1029,345,오산시,1919,6
용인시기흥구,437307,159466.0,3410,2825,585,용인시 기흥구,4979,13
용인시수지구,376250,113277.0,3015,2510,505,용인시 수지구,5239,8
용인시처인구,267936,114930.0,1455,985,470,용인시 처인구,3731,5
의왕시,155740,62731.0,911,615,296,의왕시,1919,3
의정부시,461661,179439.0,2402,1748,654,의정부시,3695,10
이천시,221704,105797.0,1378,888,490,이천시,2708,4
파주시,505659,201565.0,2920,2101,819,파주시,5487,13
평택시,593549,229128.0,4006,3060,946,평택시,5190,10
포천시,142429,73416.0,608,282,326,포천시,1514,3
하남시,329827,104409.0,2371,1591,780,하남시,4871,8
화성시,952194,425616.0,6255,4101,2154,화성시,9780,15
