행정구역,총 인구수
가평군,21084
가평군,3608
가평군,5436
가평군,9627
가평군,9210
가평군,13424
고양시 덕양구,28265
고양시 덕양구,34592
고양시 덕양구,18153
고양시 덕양구,16539
고양시 덕양구,22147
고양시 덕양구,28214
고양시 덕양구,21074
고양시 덕양구,10613
고양시 덕양구,22731
고양시 덕양구,10819
고양시 덕양구,23193
고양시 덕양구,20392
고양시 덕양구,30159
고양시 덕양구,22731
고양시 덕양구,19620
고양시 덕양구,14807
고양시 덕양구,27862
고양시 덕양구,35717
고양시 덕양구,31331
고양시 덕양구,24910
고양시 덕양구,29637
고양시 일산동구,21779
고양시 일산동구,22928
고양시 일산동구,15417
고양시 일산동구,28764
고양시 일산동구,20004
고양시 일산동구,40773
고양시 일산동구,14597
고양시 일산동구,26597
고양시 일산동구,21756
고양시 일산동구,20616
고양시 일산동구,23603
고양시 일산동구,36906
고양시 일산서구,18669
고양시 일산서구,34352
고양시 일산서구,30429
고양시 일산서구,20426
고양시 일산서구,25407
고양시 일산서구,18965
고양시 일산서구,33652
고양시 일산서구,26546
고양시 일산서구,27123
고양시 일산서구,29967
고양시 일산서구,19023
과천시,15238
과천시,6316
과천시,6572
과천시,14640
과천시,14261
과천시,16030
과천시,11221
광명시,47
광명시,2893
광명시,9667
광명시,7652
광명시,11918
광명시,13763
광명시,22312
광명시,29985
광명시,26207
광명시,21627
광명시,10507
광명시,5269
광명시,36666
광명시,9357
광명시,25147
광명시,13068
광명시,19042
광명시,11788
광명시,1829
광주시,28757
광주시,21998
광주시,32060
광주시,33194
광주시,1421
광주시,2288
광주시,22837
광주시,9241
광주시,20902
광주시,36070
광주시,17696
광주시,27505
광주시,32870
광주시,50119
광주시,40398
광주시,15642
구리시,30252
구리시,14780
구리시,21014
구리시,35622
구리시,15022
구리시,24476
구리시,21108
구리시,23805
군포시,23528
군포시,19718
군포시,19289
군포시,9264
군포시,14794
군포시,25408
군포시,20463
군포시,15368
군포시,20334
군포시,17400
김포시,48798
김포시,45247
김포시,58285
김포시,9416
김포시,35462
김포시,21199
김포시,30598
김포시,49220
김포시,5187
김포시,40553
김포시,39034
김포시,34908
김포시,59988
김포시,7854
남양주시,17455
남양주시,104644
남양주시,36397
남양주시,82218
남양주시,18376
남양주시,8771
남양주시,2668
남양주시,51421
남양주시,57599
남양주시,3850
남양주시,20602
남양주시,95437
남양주시,27181
남양주시,37678
남양주시,55949
남양주시,64220
동두천시,2675
동두천시,24963
동두천시,4826
동두천시,6311
동두천시,10850
동두천시,8503
동두천시,24934
동두천시,4501
성남시 분당구,27061
성남시 분당구,26632
성남시 분당구,24693
성남시 분당구,23902
성남시 분당구,30934
성남시 분당구,17586
성남시 분당구,17849
성남시 분당구,10382
성남시 분당구,13335
성남시 분당구,16765
성남시 분당구,15764
성남시 분당구,26624
성남시 분당구,34809
성남시 분당구,24799
성남시 분당구,13029
성남시 분당구,30080
성남시 분당구,14553
성남시 분당구,16814
성남시 분당구,14089
성남시 분당구,26521
성남시 수정구,11774
성남시 수정구,14504
성남시 수정구,10376
성남시 수정구,4678
성남시 수정구,11352
성남시 수정구,14903
성남시 수정구,4619
성남시 수정구,12488
성남시 수정구,31235
성남시 수정구,10800
성남시 수정구,9264
성남시 수정구,45837
성남시 수정구,14183
성남시 수정구,14230
성남시 수정구,12285
성남시 수정구,11555
성남시 중원구,19645
성남시 중원구,24436
성남시 중원구,26267
성남시 중원구,24070
성남시 중원구,3120
성남시 중원구,11593
성남시 중원구,32391
성남시 중원구,9544
성남시 중원구,21788
성남시 중원구,16881
성남시 중원구,19486
수원시 권선구,34758
수원시 권선구,24346
수원시 권선구,46050
수원시 권선구,44498
수원시 권선구,37526
수원시 권선구,9694
수원시 권선구,22651
수원시 권선구,17685
수원시 권선구,19790
수원시 권선구,40689
수원시 권선구,44419
수원시 영통구,53208
수원시 영통구,28483
수원시 영통구,31524
수원시 영통구,33478
수원시 영통구,11613
수원시 영통구,13758
수원시 영통구,34362
수원시 영통구,20077
수원시 영통구,33020
수원시 영통구,25302
수원시 영통구,31492
수원시 영통구,45778
수원시 장안구,18289
수원시 장안구,17348
수원시 장안구,18335
수원시 장안구,40131
수원시 장안구,32164
수원시 장안구,38402
수원시 장안구,39158
수원시 장안구,28208
수원시 장안구,17608
수원시 장안구,24895
수원시 팔달구,19386
수원시 팔달구,21695
수원시 팔달구,9822
수원시 팔달구,18563
수원시 팔달구,16795
수원시 팔달구,45010
수원시 팔달구,9666
수원시 팔달구,9300
수원시 팔달구,21185
수원시 팔달구,24260
시흥시,10561
시흥시,1811
시흥시,25007
시흥시,42260
시흥시,11465
시흥시,41065
시흥시,35216
시흥시,35408
시흥시,33584
시흥시,9134
시흥시,24010
시흥시,17328
시흥시,54764
시흥시,46514
시흥시,21540
시흥시,27406
시흥시,21701
시흥시,19829
시흥시,18346
안산시 단원구,20257
안산시 단원구,9193
안산시 단원구,24038
안산시 단원구,16876
안산시 단원구,16578
안산시 단원구,32714
안산시 단원구,21000
안산시 단원구,36280
안산시 단원구,5496
안산시 단원구,24374
안산시 단원구,45503
안산시 단원구,42478
안산시 상록구,16635
안산시 상록구,35172
안산시 상록구,24732
안산시 상록구,18433
안산시 상록구,20630
안산시 상록구,29716
안산시 상록구,30676
안산시 상록구,24902
안산시 상록구,8520
안산시 상록구,35956
안산시 상록구,22641
안산시 상록구,23116
안산시 상록구,39884
안성시,1867
안성시,63634
안성시,7219
안성시,14807
안성시,5477
안성시,4999
안성시,3688
안성시,3040
안성시,11515
안성시,26229
안성시,23262
안성시,5048
안성시,6460
안성시,7304
안성시,6698
안양시 동안구,10442
안양시 동안구,33544
안양시 동안구,16178
안양시 동안구,9896
안양시 동안구,15254
안양시 동안구,25872
안양시 동안구,16378
안양시 동안구,28738
안양시 동안구,14526
안양시 동안구,11316
안양시 동안구,12410
안양시 동안구,18240
안양시 동안구,22796
안양시 동안구,13997
안양시 동안구,25451
안양시 동안구,18774
안양시 동안구,23242
안양시 만안구,14044
안양시 만안구,20782
안양시 만안구,18821
안양시 만안구,29930
안양시 만안구,11842
안양시 만안구,22875
안양시 만안구,15576
안양시 만안구,6770
안양시 만안구,10004
