행정구역,행정코드,총인구수
경기도 의왕시 고천동,4143051000,"13,541"
경기도 의왕시 부곡동,4143052000,"28,964"
경기도 의왕시 오전동,4143053000,"37,190"
경기도 의왕시 내손1동,4143054000,"20,134"
경기도 의왕시 내손2동,4143055000,"21,702"
경기도 의왕시 청계동,4143056000,"37,339"
경기도 가평군 가평읍,4182025000,"20,656"
경기도 가평군 설악면,4182031000,"9,645"
경기도 가평군 청평면,4182032500,"13,497"
경기도 가평군 상면,4182033000,"5,490"
경기도 가평군 조종면,4182034500,"9,353"
경기도 가평군 북면,4182035000,"3,661"
경기도 양평군 양평읍,4183025000,"35,613"
경기도 양평군 강상면,4183031000,"10,032"
경기도 양평군 강하면,4183032000,"4,880"
경기도 양평군 양서면,4183033000,"13,900"
경기도 양평군 옥천면,4183034000,"8,105"
경기도 양평군 서종면,4183035000,"10,031"
경기도 양평군 단월면,4183036000,"3,928"
경기도 양평군 청운면,4183037000,"3,781"
경기도 양평군 양동면,4183038000,"4,572"
경기도 양평군 지평면,4183039500,"6,833"
경기도 양평군 용문면,4183040000,"18,449"
경기도 양평군 개군면,4183041000,"5,114"
경기도 김포시 통진읍,4157025000,"34,589"
경기도 김포시 고촌읍,4157025300,"48,397"
경기도 김포시 양촌읍,4157025600,"30,225"
경기도 김포시 대곶면,4157034000,"9,586"
경기도 김포시 월곶면,4157035000,"5,204"
경기도 김포시 하성면,4157036000,"7,918"
경기도 김포시 김포본동,4157051500,"58,564"
경기도 김포시 장기본동,4157052500,"39,254"
경기도 김포시 사우동,4157054000,"21,413"
경기도 김포시 풍무동,4157055000,"60,264"
경기도 김포시 장기동,4157056000,"40,770"
경기도 김포시 구래동,4157057000,"45,200"
경기도 김포시 마산동,4157057500,"35,481"
경기도 김포시 운양동,4157058000,"49,307"
경기도 여주시 가남읍,4167025000,"14,468"
경기도 여주시 점동면,4167031000,"4,736"
경기도 여주시 흥천면,4167032000,"5,019"
경기도 여주시 금사면,4167033000,"2,918"
경기도 여주시 세종대왕면,4167034500,"5,915"
경기도 여주시 대신면,4167035000,"6,663"
경기도 여주시 북내면,4167036000,"4,729"
경기도 여주시 강천면,4167037000,"4,311"
경기도 여주시 산북면,4167038000,"2,477"
경기도 여주시 여흥동,4167051000,"20,917"
경기도 여주시 중앙동,4167052000,"24,255"
경기도 여주시 오학동,4167053000,"18,004"
경기도 연천군 연천읍,4180025000,"7,827"
경기도 연천군 전곡읍,4180025300,"18,055"
경기도 연천군 군남면,4180031000,"2,974"
경기도 연천군 청산면,4180032000,"4,176"
경기도 연천군 백학면,4180033000,"2,508"
경기도 연천군 미산면,4180034000,"1,705"
경기도 연천군 왕징면,4180035000,986
경기도 연천군 신서면,4180036000,"2,475"
경기도 연천군 중면,4180037000,164
경기도 연천군 장남면,4180038000,714
경기도 안성시 공도읍,4155025000,"61,350"
경기도 안성시 보개면,4155031000,"5,110"
경기도 안성시 금광면,4155032000,"7,341"
경기도 안성시 서운면,4155033000,"3,081"
경기도 안성시 미양면,4155034000,"5,533"
경기도 안성시 대덕면,4155035000,"15,207"
경기도 안성시 양성면,4155036000,"5,131"
경기도 안성시 원곡면,4155038000,"6,495"
경기도 안성시 일죽면,4155039000,"7,279"
경기도 안성시 죽산면,4155040000,"6,834"
경기도 안성시 삼죽면,4155041000,"3,739"
경기도 안성시 고삼면,4155042000,"1,887"
경기도 안성시 안성1동,4155051000,"11,802"
경기도 안성시 안성2동,4155052000,"26,165"
경기도 안성시 안성3동,4155053000,"22,080"
경기도 양주시 백석읍,4163025000,"25,144"
경기도 양주시 은현면,4163031000,"5,455"
경기도 양주시 남면,4163032000,"6,443"
경기도 양주시 광적면,4163033000,"11,124"
경기도 양주시 장흥면,4163034000,"11,807"
경기도 양주시 양주1동,4163051000,"4,780"
경기도 양주시 양주2동,4163052000,"50,618"
경기도 양주시 회천1동,4163053000,"9,044"
경기도 양주시 회천2동,4163054000,"36,591"
경기도 양주시 회천3동,4163055000,"25,469"
경기도 양주시 옥정1동,4163057000,"29,472"
경기도 양주시 옥정2동,4163058000,"52,079"
경기도 이천시 장호원읍,4150025000,"14,122"
경기도 이천시 부발읍,4150025300,"36,495"
경기도 이천시 신둔면,4150031000,"14,011"
경기도 이천시 백사면,4150032000,"11,432"
경기도 이천시 호법면,4150033000,"5,924"
경기도 이천시 마장면,4150034000,"15,700"
경기도 이천시 대월면,4150035000,"14,334"
경기도 이천시 모가면,4150036000,"4,152"
경기도 이천시 설성면,4150037000,"4,501"
