시군구,총 인구수,총출근발생량,충전소 총 개수,주거공간 충전소 개수,주거공간 외 충전소 개수,행정구역,전기차 수,앵커시설,급속,완속,공공기관,공영주차장,"도로, 휴게소",상업소,쇼핑센터,"스포츠, 경기장",주거공간,주유소,주차장,편의시설
가평군,62389,20592.0,452,315,137,가평군,919,2,72.0,380.0,19.0,10.0,19.0,12.0,2.0,5.0,319.0,5.0,26.0,35.0
고양시덕양구,493506,190060.0,2046,1508,538,고양시 덕양구,5538,10,190.0,1856.0,15.0,93.0,4.0,17.0,145.0,0.0,1585.0,18.0,130.0,39.0
고양시일산동구,293740,108701.0,2040,1512,528,고양시 일산동구,3296,12,143.0,1897.0,42.0,101.0,11.0,17.0,46.0,0.0,1581.0,8.0,96.0,138.0
고양시일산서구,284559,105587.0,1861,1393,468,고양시 일산서구,3193,7,153.0,1708.0,5.0,143.0,0.0,8.0,17.0,20.0,1419.0,5.0,69.0,175.0
과천시,84278,25846.0,360,154,206,과천시,1254,2,96.0,264.0,27.0,55.0,0.0,11.0,0.0,0.0,215.0,0.0,32.0,20.0
광명시,278744,137485.0,1344,909,435,광명시,2518,10,244.0,1100.0,18.0,195.0,2.0,3.0,15.0,8.0,991.0,0.0,37.0,75.0
광주시,392998,143245.0,1532,1259,273,광주시,3834,3,123.0,1409.0,31.0,101.0,17.0,15.0,6.0,8.0,1261.0,11.0,20.0,62.0
구리시,186079,84273.0,1010,796,214,구리시,1462,5,72.0,938.0,21.0,58.0,3.0,10.0,11.0,0.0,836.0,2.0,17.0,52.0
군포시,259307,134493.0,1004,685,319,군포시,2260,5,110.0,894.0,25.0,159.0,7.0,13.0,21.0,2.0,699.0,0.0,19.0,59.0
김포시,485749,164278.0,3759,3098,661,김포시,8139,11,259.0,3500.0,33.0,226.0,3.0,30.0,58.0,2.0,3161.0,21.0,142.0,83.0
남양주시,684466,259228.0,5002,4062,940,남양주시,7766,15,321.0,4681.0,46.0,340.0,6.0,40.0,113.0,2.0,4144.0,8.0,184.0,119.0
동두천시,87563,35637.0,461,332,129,동두천시,966,3,47.0,414.0,12.0,72.0,0.0,4.0,11.0,2.0,340.0,0.0,6.0,14.0
부천시소사구,228977,120264.0,696,542,154,부천시 소사구,1868,6,61.0,635.0,6.0,26.0,0.0,16.0,20.0,0.0,559.0,4.0,44.0,21.0
부천시오정구,153830,120264.0,270,102,168,부천시 오정구,1255,0,92.0,178.0,2.0,47.0,0.0,19.0,10.0,0.0,155.0,9.0,17.0,11.0
부천시원미구,392260,120264.0,1672,1187,485,부천시 원미구,3201,13,79.0,1593.0,20.0,249.0,10.0,6.0,13.0,8.0,1250.0,4.0,65.0,47.0
성남시분당구,471067,175293.0,3797,2740,1057,성남시 분당구,6327,9,274.0,3523.0,31.0,323.0,52.0,7.0,17.0,13.0,2990.0,10.0,128.0,226.0
성남시수정구,237477,110612.0,1268,812,456,성남시 수정구,3474,5,101.0,1167.0,31.0,152.0,2.0,5.0,11.0,0.0,870.0,2.0,91.0,104.0
성남시중원구,209221,119894.0,860,430,430,성남시 중원구,3105,1,95.0,765.0,23.0,196.0,0.0,25.0,1.0,21.0,505.0,1.0,30.0,58.0
수원시권선구,365041,161709.0,1979,1389,590,수원시 권선구,3849,10,194.0,1785.0,58.0,279.0,3.0,34.0,49.0,6.0,1415.0,12.0,55.0,68.0
수원시영통구,362095,154321.0,2782,2084,698,수원시 영통구,4074,9,308.0,2474.0,47.0,261.0,0.0,30.0,72.0,0.0,2144.0,4.0,139.0,85.0
수원시장안구,274538,116865.0,974,648,326,수원시 장안구,3089,8,142.0,832.0,34.0,96.0,0.0,3.0,95.0,35.0,658.0,2.0,17.0,34.0
수원시팔달구,195682,88934.0,812,532,280,수원시 팔달구,2202,6,118.0,694.0,38.0,62.0,0.0,1.0,19.0,0.0,575.0,2.0,40.0,75.0
시흥시,518844,250753.0,3194,2374,820,시흥시,4055,11,292.0,2902.0,30.0,354.0,11.0,40.0,96.0,2.0,2412.0,13.0,101.0,135.0
안산시단원구,294787,182149.0,1865,1273,592,안산시 단원구,2919,9,219.0,1646.0,44.0,139.0,44.0,23.0,50.0,21.0,1332.0,4.0,59.0,149.0
안산시상록구,331013,160090.0,668,411,257,안산시 상록구,3278,5,74.0,594.0,15.0,43.0,0.0,11.0,11.0,3.0,424.0,6.0,95.0,60.0
안성시,191247,94750.0,1315,819,496,안성시,2159,6,234.0,1081.0,53.0,102.0,31.0,64.0,117.0,1.0,829.0,4.0,62.0,52.0
안양시동안구,317054,138134.0,1498,895,603,안양시 동안구,2827,10,133.0,1365.0,30.0,162.0,0.0,75.0,64.0,3.0,1034.0,3.0,66.0,61.0
