시군구,총 인구수,총출근발생량,충전기 총 개수,주거공간 충전소 개수,주거공간 외 충전소 개수,행정구역,전기차 수,앵커시설,급속,완속,공공기관,공영주차장,"도로, 휴게소",상업소,쇼핑센터,"스포츠, 경기장",주거공간,주유소,주차장,편의시설,충전소 수
가평군,62389,20592,452,315,137,가평군,919,2,72,380,19,10,19,12,2,5,319,5,26,35,243
고양시덕양구,493506,190060,2046,1508,538,고양시 덕양구,5538,10,190,1856,15,93,4,17,145,0,1585,18,130,39,295
고양시일산동구,293740,108701,2040,1512,528,고양시 일산동구,3296,12,143,1897,42,101,11,17,46,0,1581,8,96,138,309
고양시일산서구,284559,105587,1861,1393,468,고양시 일산서구,3193,7,153,1708,5,143,0,8,17,20,1419,5,69,175,228
과천시,84278,25846,360,154,206,과천시,1254,2,96,264,27,55,0,11,0,0,215,0,32,20,75
광명시,278744,137485,1344,909,435,광명시,2518,10,244,1100,18,195,2,3,15,8,991,0,37,75,140
광주시,392998,143245,1532,1259,273,광주시,3834,3,123,1409,31,101,17,15,6,8,1261,11,20,62,294
구리시,186079,84273,1010,796,214,구리시,1462,5,72,938,21,58,3,10,11,0,836,2,17,52,151
군포시,259307,134493,1004,685,319,군포시,2260,5,110,894,25,159,7,13,21,2,699,0,19,59,172
김포시,485749,164278,3759,3098,661,김포시,8139,11,259,3500,33,226,3,30,58,2,3161,21,142,83,430
남양주시,684466,259228,5002,4062,940,남양주시,7766,15,321,4681,46,340,6,40,113,2,4144,8,184,119,561
동두천시,87563,35637,461,332,129,동두천시,966,3,47,414,12,72,0,4,11,2,340,0,6,14,94
부천시소사구,228977,120264,696,542,154,부천시 소사구,1868,6,61,635,6,26,0,16,20,0,559,4,44,21,121
부천시오정구,153830,120264,270,102,168,부천시 오정구,1255,0,92,178,2,47,0,19,10,0,155,9,17,11,61
부천시원미구,392260,120264,1672,1187,485,부천시 원미구,3201,13,79,1593,20,249,10,6,13,8,1250,4,65,47,273
성남시분당구,471067,175293,3797,2740,1057,성남시 분당구,6327,9,274,3523,31,323,52,7,17,13,2990,10,128,226,490
성남시수정구,237477,110612,1268,812,456,성남시 수정구,3474,5,101,1167,31,152,2,5,11,0,870,2,91,104,189
성남시중원구,209221,119894,860,430,430,성남시 중원구,3105,1,95,765,23,196,0,25,1,21,505,1,30,58,143
수원시권선구,365041,161709,1979,1389,590,수원시 권선구,3849,10,194,1785,58,279,3,34,49,6,1415,12,55,68,263
수원시영통구,362095,154321,2782,2084,698,수원시 영통구,4074,9,308,2474,47,261,0,30,72,0,2144,4,139,85,297
수원시장안구,274538,116865,974,648,326,수원시 장안구,3089,8,142,832,34,96,0,3,95,35,658,2,17,34,149
수원시팔달구,195682,88934,812,532,280,수원시 팔달구,2202,6,118,694,38,62,0,1,19,0,575,2,40,75,151
시흥시,518844,250753,3194,2374,820,시흥시,4055,11,292,2902,30,354,11,40,96,2,2412,13,101,135,441
안산시단원구,294787,182149,1865,1273,592,안산시 단원구,2919,9,219,1646,44,139,44,23,50,21,1332,4,59,149,314
안산시상록구,331013,160090,668,411,257,안산시 상록구,3278,5,74,594,15,43,0,11,11,3,424,6,95,60,139
안성시,191247,94750,1315,819,496,안성시,2159,6,234,1081,53,102,31,64,117,1,829,4,62,52,256
안양시동안구,317054,138134,1498,895,603,안양시 동안구,2827,10,133,1365,30,162,0,75,64,3,1034,3,66,61,223
안양시만안구,229107,100753,733,575,158,안양시 만안구,2042,2,50,683,12,70,0,2,3,0,585,2,43,16,154
양주시,278546,93253,1931,1479,452,양주시,3135,4,158,1773,31,210,3,29,37,0,1494,8,59,60,271
양평군,126129,26368,454,248,206,양평군,2228,1,145,309,29,46,34,2,4,5,254,0,32,48,172
여주시,114522,45690,564,406,158,여주시,1731,2,87,477,27,13,22,8,26,0,416,0,18,34,132
연천군,41081,13107,154,66,88,연천군,828,0,58,96,36,13,0,1,0,1,66,2,4,31,58
오산시,235681,120312,1374,1029,345,오산시,1919,6,149,1225,25,185,5,15,40,0,1048,2,29,25,170
용인시기흥구,437307,159466,3410,2825,585,용인시 기흥구,4979,13,173,3237,23,87,25,29,41,0,2912,4,154,135,405
용인시수지구,376250,113277,3015,2510,505,용인시 수지구,5239,8,69,2946,22,207,8,0,26,0,2535,0,128,89,332
용인시처인구,267936,114930,1455,985,470,용인시 처인구,3731,5,243,1212,65,92,49,37,13,22,1008,8,70,91,271
의왕시,155740,62731,911,615,296,의왕시,1919,3,143,768,15,84,2,14,75,0,637,2,38,44,157
의정부시,461661,179439,2402,1748,654,의정부시,3695,10,142,2260,23,265,14,31,34,0,1802,10,171,52,322
이천시,221704,105797,1378,888,490,이천시,2708,4,217,1161,74,85,55,68,30,4,896,8,50,108,262
파주시,505659,201565,2920,2101,819,파주시,5487,13,227,2693,34,282,4,34,114,9,2161,7,191,84,428
평택시,593549,229128,4006,3060,946,평택시,5190,10,245,3761,34,436,10,38,51,6,3173,20,124,114,455
포천시,142429,73416,608,282,326,포천시,1514,3,159,449,37,81,0,16,24,7,292,5,78,68,199
하남시,329827,104409,2371,1591,780,하남시,4871,8,173,2198,47,271,10,21,130,8,1711,4,25,144,264
화성시,952194,425616,6255,4101,2154,화성시,9780,15,642,5613,112,1054,58,161,96,10,4215,16,294,239,885
