행정구역,총출근발생량
수원시 장안구,"116,865"
수원시 권선구,"161,709"
수원시 팔달구,"88,934"
수원시 영통구,"154,321"
용인시 처인구,"114,930"
용인시 기흥구,"159,466"
용인시 수지구,"113,277"
고양시 덕양구,"190,060"
고양시 일산동구,"108,701"
고양시 일산서구,"105,587"
화성시,"425,616"
성남시 수정구,"110,612"
성남시 중원구,"119,894"
성남시 분당구,"175,293"
부천시,"360,792"
남양주시,"259,228"
안산시 상록구,"160,090"
안산시 단원구,"182,149"
평택시,"229,128"
안양시 만안구,"100,753"
안양시 동안구,"138,134"
시흥시,"250,753"
파주시,"201,565"
김포시,"164,278"
의정부시,"179,439"
광주시,"143,245"
하남시,"104,409"
광명시,"137,485"
군포시,"134,493"
양주시,"93,253"
오산시,"120,312"
이천시,"105,797"
안성시,"94,750"
구리시,"84,273"
의왕시,"62,731"
포천시,"73,416"
양평군,"26,368"
여주시,"45,690"
동두천시,"35,637"
과천시,"25,846"
가평군,"20,592"
연천군,"13,107"
