행정구역,총 인구수,총출근발생량,전기차 수,충전소 개수,앵커시설,완속
가평군,62389,20592.0,919,250.0,2,380.0
고양시 덕양구,493506,190060.0,5538,429.0,10,1856.0
고양시 일산동구,293740,108701.0,3296,452.0,12,1897.0
고양시 일산서구,284559,105587.0,3193,352.0,7,1708.0
과천시,84278,25846.0,1254,98.0,2,264.0
광명시,278744,137485.0,2518,221.0,10,1100.0
광주시,392998,143245.0,3834,420.0,3,1409.0
구리시,186079,84273.0,1462,212.0,5,938.0
군포시,259307,134493.0,2260,232.0,5,894.0
김포시,485749,164278.0,8139,667.0,11,3500.0
남양주시,684466,259228.0,7766,911.0,15,4681.0
동두천시,87563,35637.0,966,129.0,3,414.0
부천시 소사구,228977,120264.0,1868,147.0,6,635.0
부천시 오정구,153830,120264.0,1255,73.0,0,178.0
부천시 원미구,392260,120264.0,3201,377.0,13,1593.0
성남시 분당구,471067,175293.0,6327,736.0,9,3523.0
성남시 수정구,237477,110612.0,3474,268.0,5,1167.0
성남시 중원구,209221,119894.0,3105,213.0,1,765.0
수원시 권선구,365041,161709.0,3849,355.0,10,1785.0
수원시 영통구,362095,154321.0,4074,499.0,9,2474.0
수원시 장안구,274538,116865.0,3089,212.0,8,832.0
수원시 팔달구,195682,88934.0,2202,196.0,6,694.0
시흥시,518844,250753.0,4055,602.0,11,2902.0
안산시 단원구,294787,182149.0,2919,383.0,9,1646.0
안산시 상록구,331013,160090.0,3278,167.0,5,594.0
안성시,191247,94750.0,2159,331.0,6,1081.0
안양시 동안구,317054,138134.0,2827,301.0,10,1365.0
안양시 만안구,229107,100753.0,2042,191.0,2,683.0
양주시,278546,93253.0,3135,374.0,4,1773.0
양평군,126129,26368.0,2228,195.0,1,309.0
여주시,114522,45690.0,1731,164.0,2,477.0
연천군,41081,13107.0,828,66.0,0,96.0
오산시,235681,120312.0,1919,248.0,6,1225.0
용인시 기흥구,437307,159466.0,4979,641.0,13,3237.0
용인시 수지구,376250,113277.0,5239,628.0,8,2946.0
용인시 처인구,267936,114930.0,3731,323.0,5,1212.0
의왕시,155740,62731.0,1919,208.0,3,768.0
의정부시,461661,179439.0,3695,509.0,10,2260.0
이천시,221704,105797.0,2708,325.0,4,1161.0
파주시,505659,201565.0,5487,661.0,13,2693.0
평택시,593549,229128.0,5190,670.0,10,3761.0
포천시,142429,73416.0,1514,227.0,3,449.0
하남시,329827,104409.0,4871,348.0,8,2198.0
화성시,952194,425616.0,9780,1321.0,15,5613.0
