행정구역,충전소 개수
가평군,250.0
고양시 덕양구,429.0
고양시 일산동구,452.0
고양시 일산서구,352.0
과천시,98.0
광명시,221.0
광주시,420.0
구리시,212.0
군포시,232.0
김포시,667.0
남양주시,911.0
동두천시,129.0
부천시 소사구,147.0
부천시 오정구,73.0
부천시 원미구,377.0
성남시 분당구,736.0
성남시 수정구,268.0
성남시 중원구,213.0
수원시 권선구,355.0
수원시 영통구,499.0
수원시 장안구,212.0
수원시 팔달구,196.0
시흥시,602.0
안산시 단원구,383.0
안산시 상록구,167.0
안성시,331.0
안양시 동안구,301.0
안양시 만안구,191.0
양주시,374.0
양평군,195.0
여주시,164.0
연천군,66.0
오산시,248.0
용인시 기흥구,641.0
용인시 수지구,628.0
용인시 처인구,323.0
의왕시,208.0
의정부시,509.0
이천시,325.0
파주시,661.0
평택시,670.0
포천시,227.0
하남시,348.0
화성시,1321.0
